"","Event","MeanTime","StartFrame","EndFrame"
"1",1,2.31666666666667,3482,3486
"2",2,2.65,3981,3983
"3",3,5.95,8928,8932
"4",4,6.04166666666667,9062,9099
"5",5,6.15,9236,9240
"6",6,6.36666666666667,9559,9566
"7",7,6.55666666666667,9847,9851
"8",8,6.73333333333333,10114,10118
"9",9,6.95,10444,10447
"10",10,7.06666666666667,10608,10613
"11",11,7.1375,10722,10725
"12",12,7.55,11334,11342
"13",13,7.75,11634,11638
"14",14,7.91666666666667,11877,11880
"15",15,14.1854166666667,21287,21304
"16",16,14.3666666666667,21560,21564
"17",17,14.4166666666667,21625,21632
"18",18,15.8833333333333,23837,23843
"19",19,16.7833333333333,25187,25194
"20",20,19.55,29342,29346
"21",21,19.8666666666667,29811,29817
"22",22,26.1166666666667,39180,39186
"23",23,26.8666666666667,40313,40321
"24",24,35.2166666666667,52831,52839
"25",25,35.2895833333333,52945,52953
"26",26,35.35,53027,53029
"27",27,40.1833333333333,60286,60294
"28",28,40.7666666666667,61151,61158
"29",29,49.3,73950,73963
"30",30,49.3712121212121,74061,74081
"31",31,50.2071428571429,75319,75339
"32",32,50.5166666666667,75782,75788
"33",33,56.1833333333333,84284,84291
"34",34,56.2294871794872,84347,84372
"35",35,56.5666666666667,84861,84866
"36",36,56.7416666666667,85124,85126
"37",37,56.7833333333333,85191,85193
"38",38,69.25,103878,103894
"39",39,69.3416666666667,104016,104026
"40",40,69.4606060606061,104181,104214
"41",41,71.9333333333333,107900,107904
"42",42,73.937037037037,110917,110926
"43",43,73.9833333333333,110981,110985
"44",44,81.5833333333333,122377,122385
"45",45,81.6,122410,122417
"46",46,91.0333333333333,136557,136564
