"","X","Event","MeanTime","StartFrame","EndFrame","Time","Sex","EventDes"
"1",1,1,2.31666666666667,3482,3486,NA,NA,NA
"2",2,2,2.65,3981,3983,2.6,0,"In"
"3",3,3,5.95,8928,8932,NA,NA,NA
"4",4,4,6.04166666666667,9062,9099,NA,NA,NA
"5",5,5,6.15,9236,9240,NA,NA,NA
"6",6,6,6.36666666666667,9559,9566,6.3,0,"Out"
"7",7,7,6.55666666666667,9847,9851,6.6,0,"In"
"8",8,8,6.73333333333333,10114,10118,6.7,0,"Out"
"9",9,9,6.95,10444,10447,NA,NA,NA
"10",10,10,7.06666666666667,10608,10613,7.1,0,"In"
"11",11,11,7.1375,10722,10725,NA,NA,NA
"12",12,12,7.55,11334,11342,7.5,0,"Out"
"13",13,13,7.75,11634,11638,NA,NA,NA
"14",14,14,7.91666666666667,11877,11880,7.9,0,"In"
"15",15,15,14.1854166666667,21287,21304,NA,NA,NA
"16",16,16,14.3666666666667,21560,21564,NA,NA,NA
"17",17,17,14.4166666666667,21625,21632,14.4,0,"Out"
"18",18,18,15.8833333333333,23837,23843,NA,NA,NA
"19",19,19,16.7833333333333,25187,25194,16.5,0,"In"
"20",20,20,19.55,29342,29346,NA,NA,NA
"21",21,21,19.8666666666667,29811,29817,NA,NA,NA
"22",22,22,26.1166666666667,39180,39186,26.1,1,"In"
"23",23,23,26.8666666666667,40313,40321,26.7,0,"Out"
"24",24,24,35.2166666666667,52831,52839,NA,NA,NA
"25",25,25,35.2895833333333,52945,52953,35.3,0,"In"
"26",26,26,35.35,53027,53029,NA,NA,NA
"27",27,27,40.1833333333333,60286,60294,40.2,1,"In"
"28",28,28,40.7666666666667,61151,61158,40.7,1,"Out"
"29",29,29,49.3,73950,73963,49.3,0,"Out"
"30",30,30,49.3712121212121,74061,74081,49.4,1,"In"
"31",31,31,50.2071428571429,75319,75339,50.2,0,"In"
"32",32,32,50.5166666666667,75782,75788,NA,NA,NA
"33",33,33,56.1833333333333,84284,84291,56.2,0,"Out"
"34",34,34,56.2294871794872,84347,84372,NA,NA,NA
"35",35,35,56.5666666666667,84861,84866,56.5,1,"Out"
"36",36,36,56.7416666666667,85124,85126,NA,NA,NA
"37",37,37,56.7833333333333,85191,85193,56.8,1,"In"
"38",38,38,69.25,103878,103894,NA,NA,NA
"39",39,39,69.3416666666667,104016,104026,69.3,0,"In"
"40",40,40,69.4606060606061,104181,104214,NA,NA,NA
"41",41,41,71.9333333333333,107900,107904,71.9,0,"Out"
"42",42,42,73.937037037037,110917,110926,NA,NA,NA
"43",43,43,73.9833333333333,110981,110985,74,0,"In"
"44",44,44,81.5833333333333,122377,122385,NA,NA,NA
"45",45,45,81.6,122410,122417,81.6,0,"Out"
"46",46,46,91.0333333333333,136557,136564,90,1,"Out"
"47",17,17,14.4166666666667,21625,21632,14.4,1,"In"
"48",33,33,56.1833333333333,84284,84291,56.2,1,"In"
"49",45,45,81.6,122410,122417,81.6,1,"In"
"50",19,19,16.7833333333333,25187,25194,16.5,1,"Out"
"51",25,25,35.2895833333333,52945,52953,35.3,1,"Out"
"52",31,31,50.2071428571429,75319,75339,50.3,1,"Out"
"53",39,39,69.3416666666667,104016,104026,69.3,1,"Out"
