DVDRef,DVDNumber,TapeLength,Protocol,Observer,BroodRef,Situation,Deaths,OffspringNo,Age,Wrong,DVDdate,DVDtime,Weather,Wind,Notes
1,40001,92.59999847,1,,442,4,FALSE,2,13,FALSE,25/4/2004,0/1/1900,,,plus LM19
2,40002,83.90000153,,,441,4,FALSE,2,13,TRUE,25/4/2004,0/1/1900,,,
3,40003,85.40000153,,,440,4,FALSE,1,13,TRUE,25/4/2004,0/1/1900,,,plus W6
4,40004,93.5,,,445,4,FALSE,1,14,TRUE,26/4/2004,0/1/1900,,,
5,40005,87.90000153,1,,448,4,FALSE,1,3,FALSE,26/4/2004,0/1/1900,1,1,
6,40006,93.19999695,,,,1,FALSE,2,3,TRUE,26/4/2004,0/1/1900,,,EGG LAYING 1->2E
7,40007,93.69999695,,,481,1,FALSE,4,2,TRUE,26/4/2004,0/1/1900,,,EGG LAYING 3->4E
8,40008,93.69999695,,,487,1,FALSE,3,2,TRUE,26/4/2004,0/1/1900,,,EGG LAYING 2->3E
9,40009,93.69999695,1,,452,4,FALSE,3,3,FALSE,29/4/2004,0/1/1900,0,2,
10,40010,93.69999695,1,,451,4,FALSE,3,3,FALSE,29/4/2004,0/1/1900,0,2,
11,40011,92.59999847,1,,454,4,FALSE,2,3,FALSE,1/5/2004,0/1/1900,2,2,
12,40012,92.90000153,,,468,2,FALSE,5,11,FALSE,1/5/2004,0/1/1900,2,2,
13,40013,,,,455,4,FALSE,5,3,FALSE,2/5/2004,0/1/1900,0,0,doesn't play on d's tv or laptop
14,40014,93.59999847,1,,456,4,FALSE,3,3,FALSE,2/5/2004,0/1/1900,0,0,
15,40015,93.80000305,,,483,2,FALSE,5,11,FALSE,2/5/2004,0/1/1900,0,0,
16,40016,93.69999695,,,477,2,FALSE,4,11,FALSE,2/5/2004,0/1/1900,0,0,
17,40017,93.69999695,,,482,2,FALSE,5,10,FALSE,2/5/2004,0/1/1900,0,0,
18,40018,93.69999695,,,484,2,FALSE,4,10,FALSE,2/5/2004,0/1/1900,0,0,
19,40019,93.5,1,,452,4,FALSE,1,7,FALSE,3/5/2004,0/1/1900,1,1,
20,40020,93.80000305,1,,457,4,FALSE,2,3,FALSE,3/5/2004,0/1/1900,1,1,
21,40021,93.80000305,,,503,2,FALSE,4,11,FALSE,3/5/2004,0/1/1900,1,1,
22,40022,93.19999695,,,476,2,FALSE,3,11,FALSE,3/5/2004,0/1/1900,1,2,
23,40023,93.80000305,,,481,2,FALSE,4,11,FALSE,3/5/2004,0/1/1900,1,2,
24,40024,92.40000153,1,,459,4,FALSE,2,3,FALSE,3/5/2004,0/1/1900,1,2,
25,40025,93.30000305,1,,461,4,FALSE,3,3,FALSE,4/5/2004,0/1/1900,3,4,
26,40026,93.69999695,1,,462,4,FALSE,2,3,FALSE,4/5/2004,0/1/1900,3,4,
27,40027,93.69999695,1,,460,4,TRUE,4,3,FALSE,4/5/2004,0/1/1900,3,4,CHI 4->3C3D
28,40028,93.69999695,,,487,2,FALSE,5,11,FALSE,4/5/2004,0/1/1900,3,4,
29,40029,93.80000305,,,496,2,FALSE,5,11,FALSE,4/5/2004,0/1/1900,0,3,
30,40030,93.69999695,1,,464,4,TRUE,4,4,FALSE,6/5/2004,0/1/1900,1,2,CHI 5->3C4D
31,40031,93.69999695,1,,463,4,FALSE,1,3,FALSE,6/5/2004,0/1/1900,1,2,
32,40032,93.40000153,1,,455,4,FALSE,3,7,FALSE,6/5/2004,0/1/1900,1,2,Feamle seemed afraid (Abandanment???)
33,40033,93.69999695,1,,466,4,TRUE,0,3,FALSE,6/5/2004,0/1/1900,1,2,CHI 1->0C3D
34,40034,86.80000305,1,,467,4,TRUE,2,3,FALSE,6/5/2004,0/1/1900,1,2,CHI 2->1C3D
35,40035,93.69999695,,,491,2,FALSE,4,11,FALSE,6/5/2004,0/1/1900,1,2,
36,40036,91.5,1,,457,4,FALSE,2,6,FALSE,7/5/2004,0/1/1900,1,1,DUNCAN'S VERSION. Changed from 3 to 2 because so it says in video and chick books
37,40037,91.19999695,1,,472,4,FALSE,4,3,FALSE,7/5/2004,0/1/1900,1,1,
38,40038,93.80000305,1,,474,4,FALSE,1,3,FALSE,7/5/2004,0/1/1900,0,1,
39,40039,93.69999695,1,,456,4,FALSE,2,7,FALSE,7/5/2004,0/1/1900,0,1,
40,40040,93.80000305,,,490,2,FALSE,5,11,FALSE,7/5/2004,0/1/1900,0,1,
41,40041,93.59999847,,,504,1,FALSE,,,TRUE,7/5/2004,0/1/1900,0,1,EGG LAYING? 11D
42,40042,93.69999695,,,495,2,FALSE,4,11,FALSE,7/5/2004,0/1/1900,0,1,
43,40043,93.80000305,,,489,2,FALSE,4,11,FALSE,7/5/2004,0/1/1900,0,1,
44,40044,93.69999695,1,,475,4,FALSE,3,3,FALSE,8/5/2004,0/1/1900,1,3,
45,40045,93.69999695,1,,462,4,FALSE,2,7,FALSE,8/5/2004,0/1/1900,1,3,
46,40046,91,,,494,2,FALSE,5,11,FALSE,8/5/2004,0/1/1900,1,3,
47,40047,93.69999695,,,500,2,FALSE,4,11,FALSE,8/5/2004,0/1/1900,1,3,
48,40048,91.19999695,1,,477,4,FALSE,1,3,FALSE,8/5/2004,0/1/1900,1,3,
49,40049,93.80000305,,,492,2,FALSE,3,11,FALSE,8/5/2004,0/1/1900,1,3,
50,40050,93.69999695,1,,476,4,FALSE,3,3,FALSE,8/5/2004,0/1/1900,1,3,
51,40051,93.80000305,,,499,2,FALSE,4,11,FALSE,8/5/2004,0/1/1900,1,3,
52,40052,93.69999695,,,501,2,FALSE,3,11,FALSE,8/5/2004,0/1/1900,1,3,
53,40053,93.80000305,,,488,2,FALSE,4,11,FALSE,8/5/2004,0/1/1900,1,3,
54,40054,93.80000305,1,,482,4,FALSE,2,3,FALSE,9/5/2004,0/1/1900,1,2,
55,40055,93.69999695,,,464,4,FALSE,3,7,FALSE,9/5/2004,0/1/1900,1,2,
56,40056,93.69999695,,,506,2,FALSE,5,11,FALSE,9/5/2004,0/1/1900,1,2,
57,40057,93.69999695,,,497,2,FALSE,5,12,FALSE,9/5/2004,0/1/1900,1,2,
58,40058,86.80000305,1,,479,4,FALSE,3,3,FALSE,9/5/2004,0/1/1900,1,2,
59,40059,93.69999695,1,,480,4,FALSE,2,3,FALSE,9/5/2004,0/1/1900,1,2,DUNCAN'S VERSION
60,40060,92.5,,,493,2,FALSE,4,11,FALSE,9/5/2004,0/1/1900,1,2,
61,40061,93.80000305,,,481,4,FALSE,3,3,FALSE,9/5/2004,0/1/1900,1,2,
62,40062,93.80000305,,,498,2,FALSE,4,11,FALSE,9/5/2004,0/1/1900,1,2,
