DVDRef,TapeLength,EffectiveLength,MaleFemaleOverlap,FemaleFeedCount,MaleFeedCount,FemaleFeedTime,FemaleNonFeedTime,MaleFeedTime,MaleNonFeedTime
1,92.59999847,91.5,0,29,1,16.10000038,3.5,0,0.600000024
5,87.90000153,83.90000153,0.400000006,5,11,20.20000076,7.599999905,40.59999847,4.300000191
9,93.69999695,92.40000153,3.400000095,8,15,69.19999695,1,20.89999962,2.5
10,93.69999695,90.80000305,0,7,10,41.09999847,1.600000024,27.89999962,19.39999962
11,92.59999847,85,0,5,7,58.90000153,1.5,23.29999924,4.900000095
14,93.59999847,89.59999847,0.100000001,7,6,44.20000076,1,37.09999847,1.799999952
19,93.5,89,0,,4,,4,5,35.40000153
20,93.80000305,90.40000153,0.5,8,7,42.79999924,0.5,36.29999924,3.299999952
24,92.40000153,89.19999695,0.200000003,8,7,48.5,2.200000048,26.29999924,4
25,93.30000305,89.59999847,0.100000001,6,10,1.700000048,13.19999981,48.59999847,24.70000076
26,93.69999695,89.5,0.100000001,11,8,35.5,1.399999976,23,6.699999809
27,93.69999695,91.09999847,3.700000048,8,8,50.70000076,1.100000024,39.70000076,5.300000191
30,93.69999695,91.40000153,2.099999905,8,13,56.5,0.5,32,4.099999905
31,93.69999695,67.5,0,2,3,1.700000048,4.199999809,18.70000076,4.300000191
32,93.40000153,92.30000305,0,,4,,2.900000095,3.099999905,3.099999905
33,93.69999695,86.80000305,0.100000001,7,6,35.09999847,5.300000191,24.39999962,9.699999809
34,86.80000305,80.59999847,0,1,1,32.79999924,1.899999976,8.399999619,0.200000003
36,91.5,87.09999847,0.699999988,10,6,41.29999924,0.300000012,21.70000076,0.400000006
37,91.19999695,88.59999847,0,11,9,47,1.600000024,24.20000076,1.799999952
38,93.80000305,88.80000305,0,3,6,12.60000038,2.099999905,13.19999981,15.69999981
39,93.69999695,92.90000153,0.600000024,10,9,61.09999847,0.100000001,26.89999962,7.5
44,93.69999695,92.59999847,0.200000003,14,8,60.79999924,3.799999952,16.60000038,5.400000095
45,93.69999695,92.40000153,0.600000024,13,12,48.90000153,1.100000024,23.70000076,7.599999905
48,91.19999695,91.19999695,0.300000012,7,8,43.79999924,1,35.09999847,3.900000095
50,93.69999695,91.19999695,0.600000024,16,11,47.20000076,0.300000012,20.29999924,2.400000095
54,93.80000305,90,1.700000048,8,10,51.40000153,2.700000048,26.70000076,7.5
58,86.80000305,85.80000305,0.5,14,15,46.70000076,1.299999952,21.29999924,3.799999952
59,93.69999695,93.5,1.100000024,9,7,66.80000305,1.700000048,22.5,1.299999952
63,93.69999695,87.69999695,0.200000003,6,6,44.09999847,,36.20000076,
66,93.80000305,90.80000305,8.5,4,10,68.30000305,,30.79999924,1.100000024
69,93.69999695,92.19999695,0.100000001,11,11,62.29999924,0.200000003,1.399999976,0
70,93.80000305,90.80000305,0,9,9,39.5,0.100000001,24.39999962,0
71,93.69999695,88.40000153,0.100000001,7,2,32.59999847,,0.200000003,0.100000001
72,93.80000305,86,0,,12,,2.700000048,13.30000019,12.10000038
73,93.59999847,84.80000305,0.200000003,9,4,42.70000076,0.200000003,34.40000153,0.800000012
74,92.5,89.5,0,21,4,62.5,0.699999988,5.5,0
75,92.59999847,81.59999847,0,23,,37.70000076,,,0.100000001
76,93.69999695,90.90000153,1.200000048,10,15,38.79999924,0.100000001,41.70000076,0
77,93.80000305,92.19999695,0,10,7,43.59999847,,10.60000038,7.699999809
78,93.69999695,90.90000153,0.100000001,12,13,59.5,,22.70000076,0.100000001
79,93.69999695,89.90000153,1.100000024,7,6,63.29999924,,7.400000095,
80,93.80000305,93.80000305,0,11,9,42.5,,39.79999924,0
81,93.69999695,90.69999695,0,30,3,4.400000095,7.900000095,0.200000003,0.5
82,92.69999695,91.5,0.100000001,6,7,39.29999924,0.100000001,24,3.900000095
83,93.80000305,90.5,0,14,14,41.29999924,,11.69999981,0.100000001
84,93.69999695,93.69999695,0.300000012,10,7,41.90000153,0.200000003,30,
85,93.69999695,91.59999847,0.100000001,11,10,47.09999847,0.600000024,12.69999981,1.899999976
86,93.69999695,88.69999695,0,19,4,40.59999847,1,1.200000048,0.699999988
87,93.69999695,92.69999695,1.600000024,8,11,49.5,0.300000012,26.5,0.699999988
88,93.80000305,87.40000153,0,6,7,41.90000153,1.5,26.5,1.399999976
89,93.09999847,91.09999847,0.200000003,14,18,40.90000153,,3.099999905,1.799999952
90,93.69999695,84.09999847,0,4,4,52.70000076,0.300000012,23.70000076,0.899999976
91,93.69999695,87,0.100000001,8,10,46.40000153,1.200000048,31.20000076,2.900000095
92,93.69999695,92.30000305,1,5,11,44.20000076,0.200000003,21.79999924,6.5
94,93.69999695,84.80000305,0.100000001,4,3,61,0.800000012,15.10000038,2.900000095
97,93.69999695,89.19999695,7.599999905,7,10,31.5,1.700000048,48,9
98,93.59999847,91.5,0,2,5,16.89999962,0.100000001,59.29999924,0.5
99,93.69999695,89.19999695,0,29,,35,4.5,,0.100000001
103,93.59999847,92.69999695,1.299999952,20,14,27.79999924,9,43.79999924,4.699999809
105,93.69999695,93.69999695,0,10,7,34.29999924,2.200000048,2.799999952,0.600000024
106,93.69999695,91.59999847,0.100000001,12,16,38,0.899999976,10.80000019,6.300000191
107,93.69999695,92.40000153,0,11,2,45.29999924,5.099999905,1.299999952,0.100000001
108,93.69999695,92.59999847,1.5,23,15,23.5,2.599999905,9.600000381,8.800000191
109,93.69999695,88.30000305,0.400000006,21,24,7.300000191,8,14.69999981,2
110,93.69999695,91,1.5,15,18,21.70000076,0.5,28.39999962,0.899999976
111,93.69999695,90.80000305,0,16,,21.29999924,0.200000003,,2.700000048
112,93.69999695,90.09999847,0,11,,44.90000153,0.5,,
113,93.69999695,92.19999695,0.400000006,12,21,27.79999924,0.5,12.69999981,2.799999952
114,93.69999695,86.19999695,0.600000024,11,1,50.79999924,,2.299999952,
115,93.69999695,90.90000153,0.200000003,9,9,36.29999924,0.899999976,26.79999924,0.5
117,93.69999695,90.09999847,0.300000012,3,9,12,0.5,24.70000076,2.5
118,93.59999847,92.59999847,0.200000003,6,6,43,0.100000001,22.79999924,0.800000012
119,93.59999847,75.19999695,0.100000001,15,12,24.89999962,0.100000001,4.5,1
120,93.69999695,84.09999847,0,5,2,64.5,0.800000012,6.599999905,4.699999809
121,93.69999695,87.90000153,0,24,,15.10000038,1,,
122,93.69999695,88,2.599999905,12,24,35.09999847,2.599999905,23,2.799999952
123,93.80000305,92.40000153,0.100000001,32,9,29.20000076,0.100000001,3.200000048,0.300000012
126,93.69999695,91.90000153,0.5,32,18,26.39999962,5.5,6.900000095,6.199999809
127,93.30000305,87.19999695,0.200000003,24,11,18.39999962,,2.700000048,1
129,93.69999695,91.80000305,0.200000003,9,11,38.09999847,0.100000001,35.40000153,0.800000012
130,93.69999695,91.40000153,1,33,31,29.5,1.600000024,4.5,0.100000001
131,93.40000153,92.80000305,4.199999809,6,18,66.90000153,0.600000024,20.5,3.400000095
133,93.09999847,91.19999695,0,14,2,23,,0.5,0
137,93.69999695,91.40000153,2.900000095,8,18,55.20000076,,30.29999924,2.799999952
141,93.80000305,92.59999847,0.200000003,11,13,44.70000076,0.100000001,20.39999962,0.800000012
146,93.69999695,91.30000305,0.100000001,13,11,40.09999847,0.300000012,18.10000038,5
148,93.40000153,91.40000153,2,15,23,42.59999847,0.100000001,10.39999962,1.600000024
152,93.30000305,91.40000153,0.5,15,15,48.70000076,0.100000001,15.5,0.100000001
157,93.5,90.59999847,0.699999988,21,14,51.70000076,0.100000001,22.20000076,3.400000095
161,93.80000305,89,1.299999952,12,13,43,0.600000024,14.30000019,1.299999952
162,93.59999847,87,0,8,7,31.60000038,0.400000006,31.60000038,0.899999976
166,93.69999695,91.5,0.100000001,17,11,13.39999962,4.199999809,39.70000076,1
170,93.80000305,92.5,2.400000095,10,11,39.29999924,1.5,38.79999924,1.5
171,93.69999695,93,1.399999976,12,15,46.40000153,0.100000001,31.5,1.5
172,93.5,85.19999695,0,8,10,12.10000038,0.100000001,2.5,1.600000024
173,93.69999695,91.59999847,0,16,13,25.79999924,0.600000024,2.599999905,3.599999905
174,93.69999695,92.40000153,0.600000024,7,8,33.29999924,0.100000001,20.89999962,0.5
175,91,89.80000305,0.600000024,15,17,26.29999924,0.600000024,4.5,0.899999976
176,93.69999695,92.80000305,0.100000001,11,15,36.20000076,0.699999988,22.70000076,10.39999962
177,93.5,93.5,0.300000012,17,12,39.29999924,1.399999976,8,1.100000024
178,93.80000305,93.80000305,0,10,5,28.79999924,5.5,42,0.400000006
179,93.59999847,90.40000153,0,10,2,48.59999847,0.400000006,0.800000012,0.699999988
180,93.69999695,89.5,0,12,12,42.90000153,2.200000048,28.60000038,1.700000048
182,93.5,86.19999695,0.100000001,8,8,26.89999962,,37.40000153,1.899999976
183,93.69999695,89,0,9,9,12.89999962,0.300000012,1.700000048,0.800000012
184,93.69999695,92.30000305,1.200000048,5,4,33.59999847,0.5,48.59999847,0.699999988
185,92.40000153,90.19999695,0,7,6,50.09999847,0.5,30.60000038,1.100000024
186,92.40000153,90.5,0.100000001,9,7,40.90000153,0.5,18,0.200000003
187,93.80000305,84.09999847,0.100000001,9,15,36.40000153,1.799999952,33.90000153,3.400000095
188,93.59999847,90,0.400000006,23,16,29.89999962,1.799999952,4.800000191,6.199999809
189,93.80000305,91,0.100000001,8,9,44.5,1.100000024,28.60000038,1.100000024
190,93.40000153,92.40000153,0,7,9,19.60000038,1.200000048,46.40000153,2.099999905
191,93.69999695,88,0.5,17,15,13,4.5,34.5,1.700000048
192,93.80000305,90.80000305,0.800000012,10,9,37.40000153,1.100000024,32,2.200000048
193,93.80000305,90.80000305,0.100000001,10,11,41.70000076,0.699999988,36.59999847,1.299999952
194,93.69999695,90.19999695,3.700000048,10,13,48.5,1,39.09999847,3.400000095
196,93.5,91.80000305,0,5,9,40.5,1.299999952,44.09999847,3
197,93.69999695,91.90000153,0.300000012,14,15,33,2.299999952,43.70000076,1
198,93.80000305,91.90000153,0.100000001,10,9,53.79999924,2,8.800000191,7.099999905
200,93.69999695,90.90000153,0,15,9,26,4.800000191,11,6.199999809
201,93.80000305,91.19999695,1.399999976,6,9,66.19999695,1.5,22,3
202,91.80000305,91.80000305,0.400000006,11,8,48.29999924,0.300000012,36.5,1.700000048
203,93.80000305,91.80000305,0.400000006,11,8,54.79999924,0.5,20.29999924,1.299999952
204,93.5,92.59999847,0.200000003,9,9,32,1,37.90000153,4.599999905
205,93.69999695,82.09999847,0.200000003,4,9,39.79999924,1.200000048,26.10000038,9.600000381
208,92.5,90.09999847,0,14,5,36.90000153,0.899999976,1.799999952,1.399999976
210,93.80000305,91.30000305,2.400000095,8,15,50.09999847,1.100000024,24.10000038,7.699999809
211,93.69999695,89.19999695,0.699999988,7,9,43.20000076,2.400000095,39.40000153,2.200000048
212,93.80000305,89.5,0,22,,43.09999847,0.400000006,,
213,93.69999695,91.09999847,0.400000006,16,11,50.70000076,1.200000048,24.29999924,1.100000024
214,93.40000153,84.69999695,0,8,7,54.20000076,0.300000012,21.89999962,
215,93.80000305,89.5,0.100000001,13,17,43,2.5,22.89999962,1.5
220,93.69999695,88.59999847,0,10,12,22.70000076,0.400000006,20.79999924,0.5
221,93.69999695,85.5,0,33,7,9.100000381,1.399999976,1.799999952,0.800000012
222,93.69999695,50.20000076,0,,3,,,0.899999976,2.200000048
223,93.80000305,92.19999695,3.599999905,16,24,40.70000076,2,29.70000076,3.599999905
224,93.69999695,88.80000305,0.200000003,15,26,29.29999924,4.400000095,13.69999981,2.200000048
225,93.69999695,92.59999847,0.100000001,23,24,43.40000153,1.899999976,12.80000019,4.400000095
226,93.69999695,92.5,0.699999988,30,20,13.5,1.799999952,12.89999962,2.200000048
228,93.69999695,90.90000153,0.400000006,15,13,54.79999924,1,17,3.400000095
229,93.69999695,89.19999695,2.099999905,20,16,46.29999924,2.200000048,26,1.799999952
230,88.30000305,84,0,6,6,1,0.800000012,1.299999952,1.100000024
231,93.40000153,91.5,2.200000048,6,14,42,0.800000012,25.70000076,6.199999809
233,93.69999695,91.40000153,0,12,13,35.5,2.900000095,20.10000038,1.600000024
235,93.69999695,83.90000153,0.100000001,29,16,8.5,1.299999952,4.5,6.099999905
236,93.80000305,91.40000153,0,18,16,27,0.899999976,23.5,5.800000191
237,89.59999847,88,0.300000012,9,13,50.5,,21.39999962,2.599999905
238,79.80000305,76.30000305,0.100000001,8,14,8.399999619,0.200000003,6.099999905,0.300000012
239,93.69999695,91.30000305,0.200000003,19,11,43.79999924,1,27.39999962,4.900000095
240,86.30000305,82.30000305,0.600000024,20,19,29.29999924,0.100000001,15.80000019,1.200000048
245,93.40000153,89.69999695,0,22,,30.70000076,0.699999988,,
246,93.69999695,92.19999695,0,10,9,41.70000076,0.400000006,20.39999962,
247,89.80000305,86.30000305,0.100000001,18,17,22.89999962,0.5,3.299999952,1.299999952
249,93.80000305,92.30000305,0,6,8,45.09999847,1.799999952,35.90000153,10.39999962
250,93.5,92.30000305,0.100000001,11,15,27.20000076,0.300000012,17.29999924,2
251,93.69999695,93.69999695,3.400000095,6,20,42.90000153,0.5,38.40000153,3.099999905
252,93.69999695,90.80000305,0.100000001,14,5,31.20000076,5.400000095,3.5,0.899999976
254,93.59999847,87.69999695,0,14,,16.20000076,4.900000095,,0.600000024
256,93.69999695,92,0.100000001,24,37,17.89999962,2.400000095,13.39999962,2.299999952
257,93.69999695,89.69999695,0.400000006,24,29,26.29999924,1.799999952,6.900000095,1.799999952
258,93.80000305,89.59999847,0,11,10,34.70000076,4.599999905,24.5,2.099999905
259,93.59999847,90.09999847,0,19,10,13.39999962,3.200000048,4.5,0.699999988
260,93.80000305,90.90000153,0.200000003,18,35,31.10000038,1.799999952,10.19999981,3.700000048
261,93.69999695,91.5,0,23,,37.20000076,0.600000024,,0
262,93.69999695,87.09999847,0,24,16,2.5,1.200000048,1.700000048,1.100000024
263,93.59999847,85.40000153,0.400000006,23,11,15.39999962,1.700000048,1.600000024,0.800000012
264,92.19999695,85,0,25,22,22.5,0.800000012,3.400000095,1
265,93.69999695,84.90000153,0.300000012,12,22,35.20000076,1,4.5,0.300000012
