"","DVDNumber","FocalID","PartnerID","Year","DayOfYear","TypeOfCare","BroodName","DVDRef.x","DVDRef.y","TapeLength","Protocol","Observer","BroodRef","Situation","Deaths","OffspringNo","Age","Wrong","DVDdate","DVDtime","Weather","Wind","Notes"
"1","40001",4290,4275,2004,116,"Prov","D004",1,1,92.59999847,1,"",442,4,FALSE,2,13,FALSE,"25/4/2004","0/1/1900",NA,NA,"plus LM19"
"2","40001LM19",471,661,2004,116,"Prov","D005",5147,5147,93.69999695,1,"",443,4,FALSE,1,13,FALSE,"25/4/2004","0/1/1900",NA,NA,"Created from DVDInfo for 40001 - 2 broods were videoed and 2 excels created. Isabel Winney 20160225"
"3","40002",4424,590,2004,116,"Prov","D003",2,2,83.90000153,NA,"",441,4,FALSE,2,13,TRUE,"25/4/2004","0/1/1900",NA,NA,""
"4","40003",206,663,2004,116,"Prov","D002",3,3,85.40000153,NA,"",440,4,FALSE,1,13,TRUE,"25/4/2004","0/1/1900",NA,NA,"plus W6"
"5","40004",438,11,2004,117,"Prov","D007",4,4,93.5,NA,"",445,4,FALSE,1,14,TRUE,"26/4/2004","0/1/1900",NA,NA,""
"6","40005",592,418,2004,117,"Prov","D011",5,5,87.90000153,1,"",448,4,FALSE,1,3,FALSE,"26/4/2004","0/1/1900",1,1,""
"7","40006",NA,NA,NA,NA,NA,NA,NA,6,93.19999695,NA,"",NA,1,FALSE,2,3,TRUE,"26/4/2004","0/1/1900",NA,NA,"EGG LAYING 1->2E"
"8","40007",540,383,2004,117,"Inc","D044",7,7,93.69999695,NA,"",481,1,FALSE,4,2,TRUE,"26/4/2004","0/1/1900",NA,NA,"EGG LAYING 3->4E"
"9","40008",960,650,2004,117,"Inc","D050",8,8,93.69999695,NA,"",487,1,FALSE,3,2,TRUE,"26/4/2004","0/1/1900",NA,NA,"EGG LAYING 2->3E"
"10","40009",4273,4153,2004,120,"Prov","D015",9,9,93.69999695,1,"",452,4,FALSE,3,3,FALSE,"29/4/2004","0/1/1900",0,2,""
"11","40010",551,251,2004,120,"Prov","D014",10,10,93.69999695,1,"",451,4,FALSE,3,3,FALSE,"29/4/2004","0/1/1900",0,2,""
"12","40011",521,1038,2004,122,"Prov","D017",11,11,92.59999847,1,"",454,4,FALSE,2,3,FALSE,"1/5/2004","0/1/1900",2,2,""
"13","40012",284,456,2004,122,"Inc","D031",12,12,92.90000153,NA,"",468,2,FALSE,5,11,FALSE,"1/5/2004","0/1/1900",2,2,""
"14","40013",45,166,2004,123,"Prov","D018",13,13,NA,NA,"",455,4,FALSE,5,3,FALSE,"2/5/2004","0/1/1900",0,0,"doesn't play on d's tv or laptop"
"15","40014",1048,902,2004,123,"Prov","D019",14,14,93.59999847,1,"",456,4,FALSE,3,3,FALSE,"2/5/2004","0/1/1900",0,0,""
"16","40015",427,22,2004,123,"Inc","D046",15,15,93.80000305,NA,"",483,2,FALSE,5,11,FALSE,"2/5/2004","0/1/1900",0,0,""
"17","40016",988,145,2004,123,"Inc","D040",16,16,93.69999695,NA,"",477,2,FALSE,4,11,FALSE,"2/5/2004","0/1/1900",0,0,""
"18","40017",1069,115,2004,123,"Inc","D045",17,17,93.69999695,NA,"",482,2,FALSE,5,10,FALSE,"2/5/2004","0/1/1900",0,0,""
"19","40018",723,24,2004,123,"Inc","D047",18,18,93.69999695,NA,"",484,2,FALSE,4,10,FALSE,"2/5/2004","0/1/1900",0,0,""
"20","40019",4273,4153,2004,124,"Prov","D015",19,19,93.5,1,"",452,4,FALSE,1,7,FALSE,"3/5/2004","0/1/1900",1,1,""
"21","40020",419,4503,2004,124,"Prov","D020",20,20,93.80000305,1,"",457,4,FALSE,2,3,FALSE,"3/5/2004","0/1/1900",1,1,""
"22","40021",885,984,2004,124,"Inc","D066",21,21,93.80000305,NA,"",503,2,FALSE,4,11,FALSE,"3/5/2004","0/1/1900",1,1,""
"23","40022",431,356,2004,124,"Inc","D039",22,22,93.19999695,NA,"",476,2,FALSE,3,11,FALSE,"3/5/2004","0/1/1900",1,2,""
"24","40023",540,383,2004,124,"Inc","D044",23,23,93.80000305,NA,"",481,2,FALSE,4,11,FALSE,"3/5/2004","0/1/1900",1,2,""
"25","40024",4376,383,2004,124,"Prov","D022",24,24,92.40000153,1,"",459,4,FALSE,2,3,FALSE,"3/5/2004","0/1/1900",1,2,""
"26","40025",556,23,2004,125,"Prov","D024",25,25,93.30000305,1,"",461,4,FALSE,3,3,FALSE,"4/5/2004","0/1/1900",3,4,""
"27","40026",605,4423,2004,125,"Prov","D025",26,26,93.69999695,1,"",462,4,FALSE,2,3,FALSE,"4/5/2004","0/1/1900",3,4,""
"28","40027",646,500,2004,125,"Prov","D023",27,27,93.69999695,1,"",460,4,TRUE,4,3,FALSE,"4/5/2004","0/1/1900",3,4,"CHI 4->3C3D"
"29","40028",960,650,2004,125,"Inc","D050",28,28,93.69999695,NA,"",487,2,FALSE,5,11,FALSE,"4/5/2004","0/1/1900",3,4,""
"30","40029",76,287,2004,125,"Inc","D059",29,29,93.80000305,NA,"",496,2,FALSE,5,11,FALSE,"4/5/2004","0/1/1900",0,3,""
"31","40030",32,4229,2004,127,"Prov","D027",30,30,93.69999695,1,"",464,4,TRUE,4,4,FALSE,"6/5/2004","0/1/1900",1,2,"CHI 5->3C4D"
"32","40031",562,393,2004,127,"Prov","D026",31,31,93.69999695,1,"",463,4,FALSE,1,3,FALSE,"6/5/2004","0/1/1900",1,2,""
