"","Frame","Clock","x","y","h","w","label","score","FileName","diff","Event"
"1",369,"0:00:14",726,0,172,190,"Positive",0.6477538,"VO0068_VP11_F3_20150525",0,1
"2",371,"0:00:14",614,31,204,255,"Positive",0.7500016,"VO0068_VP11_F3_20150525",2,1
"3",372,"0:00:14",556,29,240,148,"Positive",0.7298425,"VO0068_VP11_F3_20150525",1,1
"4",373,"0:00:14",549,58,206,86,"Positive",0.5028643,"VO0068_VP11_F3_20150525",1,1
"5",375,"0:00:15",489,44,131,162,"Positive",0.51986355,"VO0068_VP11_F3_20150525",2,1
"6",376,"0:00:15",464,63,119,106,"Positive",0.99990165,"VO0068_VP11_F3_20150525",1,1
"7",423,"0:00:16",486,46,125,125,"Positive",0.99586594,"VO0068_VP11_F3_20150525",47,2
"8",424,"0:00:16",490,54,118,168,"Positive",0.9974777,"VO0068_VP11_F3_20150525",1,2
"9",425,"0:00:17",566,67,108,113,"Positive",0.7989216,"VO0068_VP11_F3_20150525",1,2
"10",453,"0:00:18",640,60,221,152,"Positive",0.99997234,"VO0068_VP11_F3_20150525",28,3
"11",455,"0:00:18",807,67,168,243,"Negative",0.9222482,"VO0068_VP11_F3_20150525",2,3
"12",456,"0:00:18",967,96,147,272,"Positive",0.9684077,"VO0068_VP11_F3_20150525",1,3
"13",1164,"0:00:46",140,638,82,189,"Negative",0.94229215,"VO0068_VP11_F3_20150525",708,4
"14",1165,"0:00:46",189,507,213,198,"Positive",0.998069,"VO0068_VP11_F3_20150525",1,4
"15",1166,"0:00:46",225,421,255,205,"Positive",0.7966556,"VO0068_VP11_F3_20150525",1,4
"16",1167,"0:00:46",273,373,212,183,"Positive",0.82994634,"VO0068_VP11_F3_20150525",1,4
"17",1168,"0:00:46",384,320,155,105,"Negative",0.8902436,"VO0068_VP11_F3_20150525",1,4
"18",1169,"0:00:46",346,287,175,203,"Positive",0.54610634,"VO0068_VP11_F3_20150525",1,4
