"","Event","MeanTime","StartFrame","EndFrame"
"1",1,0.238888888888889,369,376
"2",2,0.272222222222222,423,425
"3",3,0.3,453,456
"4",4,0.766666666666667,1164,1171
"5",5,2.03333333333333,3059,3066
"6",6,2.05,3089,3095
"7",7,2.28333333333333,3428,3432
"8",8,3.5,5265,5271
"9",9,3.71666666666667,5579,5587
"10",10,3.76666666666667,5657,5662
"11",11,5.25,7877,7886
"12",12,7.81666666666667,11738,11743
"13",13,8.11666666666667,12177,12183
"14",14,8.25,12390,12392
"15",15,11.0383333333333,16568,16577
"16",16,11.1020833333333,16667,16675
"17",17,11.4,17117,17121
"18",18,11.4333333333333,17151,17157
"19",19,11.7314814814815,17599,17607
"20",20,11.9,17857,17860
"21",21,13.19375,19797,19804
"22",22,14.4533333333333,21694,21700
"23",23,14.75,22133,22141
"24",24,15.0833333333333,22632,22641
"25",25,15.6333333333333,23457,23461
"26",26,16.25,24387,24393
"27",27,18.6333333333333,27959,27970
"28",28,18.8166666666667,28241,28245
"29",29,19.2,28800,28808
"30",30,19.275,28922,28927
"31",31,22.45,33681,33694
"32",32,22.6666666666667,34013,34019
"33",33,22.8,34212,34217
"34",34,23.662962962963,35479,35508
"35",35,24.3833333333333,36593,36596
"36",36,24.55,36833,36844
"37",37,24.75,37126,37136
"38",38,24.8055555555556,37213,37236
"39",39,24.8333333333333,37259,37262
"40",40,25.05,37578,37581
"41",41,26.75,40132,40146
"42",42,26.9,40355,40365
"43",43,26.9166666666667,40388,40395
"44",44,28.4888888888889,42744,42753
"45",45,28.6833333333333,43026,43030
"46",46,30.15,45241,45249
"47",47,30.2875,45447,45450
"48",48,30.6666666666667,46004,46009
"49",49,32.6541666666667,48995,49002
"50",50,34.7,52059,52064
"51",51,35.35,53029,53032
"52",52,39.3,58959,58969
"53",53,39.45,59192,59194
"54",54,39.5933333333333,59397,59402
"55",55,42.4,63601,63608
"56",56,42.5875,63895,63900
"57",57,43.8,65715,65724
"58",58,47.1270833333333,70693,70712
"59",59,47.2333333333333,70863,70867
"60",60,47.8333333333333,71764,71768
"61",61,49.4537037037037,74193,74201
"62",62,50.0833333333333,75125,75136
"63",63,50.1333333333333,75203,75208
"64",64,51.0071428571429,76521,76527
"65",65,51.15,76734,76738
"66",66,54.1761904761905,81272,81278
"67",67,54.25,81385,81389
"68",68,54.6833333333333,82044,82049
"69",69,55.5833333333333,83382,83391
"70",70,55.8666666666667,83801,83805
"71",71,56.1444444444444,84224,84226
"72",72,56.2,84302,84309
"73",73,56.2666666666667,84407,84411
"74",74,57.6666666666667,86512,86516
"75",75,57.9733333333333,86972,86976
"76",76,58.0438596491228,87068,87087
"77",77,58.1833333333333,87275,87281
"78",78,58.25,87385,87392
"79",79,59.135,88709,88725
"80",80,59.6083333333333,89421,89427
"81",81,59.7071428571429,89568,89578
"82",82,60.2,90303,90311
"83",83,62.7666666666667,94161,94166
"84",84,63.35,95033,95037
"85",85,63.4907407407407,95245,95254
"86",86,63.7,95557,95561
"87",87,64.05,96091,96094
"88",88,66.5666666666667,99862,99871
"89",89,66.7527777777778,100145,100150
"90",90,66.9777777777778,100464,100483
"91",91,68.65,102994,102998
"92",92,69.25,103890,103897
"93",93,70.1277777777778,105199,105201
"94",94,70.16875,105265,105275
"95",95,70.3242424242424,105478,105511
"96",96,75.2537037037037,112892,112902
"97",97,75.4333333333333,113150,113155
"98",98,76.1166666666667,114184,114187
"99",99,76.2833333333333,114432,114434
"100",100,78.85,118279,118287
"101",101,78.9666666666667,118466,118471
"102",102,81.15,121736,121739
"103",103,81.3333333333333,122014,122023
"104",104,81.5166666666667,122289,122294
"105",105,83.2166666666667,124826,124837
"106",106,83.4833333333333,125237,125242
"107",107,84.9203703703704,127393,127402
"108",108,85.25,127885,127889
"109",109,85.9333333333333,128909,128920
"110",110,88.1166666666667,132175,132182
"111",111,88.3166666666667,132478,132495
"112",112,90.4875,135729,135763
