Frame,Clock,x,y,h,w,label,score
369,0:00:14,726,0,172,190,Positive,0.6477538
371,0:00:14,614,31,204,255,Positive,0.7500016
372,0:00:14,556,29,240,148,Positive,0.7298425
373,0:00:14,549,58,206,86,Positive,0.5028643
375,0:00:15,489,44,131,162,Positive,0.51986355
376,0:00:15,464,63,119,106,Positive,0.99990165
423,0:00:16,486,46,125,125,Positive,0.99586594
424,0:00:16,490,54,118,168,Positive,0.9974777
425,0:00:17,566,67,108,113,Positive,0.7989216
453,0:00:18,640,60,221,152,Positive,0.99997234
455,0:00:18,807,67,168,243,Negative,0.9222482
456,0:00:18,967,96,147,272,Positive,0.9684077
1164,0:00:46,140,638,82,189,Negative,0.94229215
1165,0:00:46,189,507,213,198,Positive,0.998069
1166,0:00:46,225,421,255,205,Positive,0.7966556
1167,0:00:46,273,373,212,183,Positive,0.82994634
1168,0:00:46,384,320,155,105,Negative,0.8902436
1169,0:00:46,346,287,175,203,Positive,0.54610634
1170,0:00:46,388,260,92,171,Negative,0.91714
1171,0:00:46,416,226,115,128,Positive,0.6657211
3059,0:02:02,0,549,171,145,Positive,0.9461493
3061,0:02:02,214,409,182,158,Positive,0.6408045
3062,0:02:02,268,335,236,183,Positive,0.72178864
3063,0:02:02,328,318,218,145,Positive,0.9986546
3064,0:02:02,377,300,210,134,Positive,0.6734475
3065,0:02:02,418,291,212,122,Positive,0.9887453
3066,0:02:02,424,281,177,100,Negative,0.5552737
3089,0:02:03,488,143,345,162,Positive,0.9007287
3091,0:02:03,516,206,159,64,Positive,0.8697855
3093,0:02:03,515,331,178,172,Negative,0.61296636
3095,0:02:03,579,566,154,302,Positive,0.61069286
3428,0:02:17,340,319,238,252,Positive,0.99181867
3430,0:02:17,447,320,187,209,Positive,0.5219836
3431,0:02:17,475,474,83,152,Positive,0.50837433
3432,0:02:17,542,558,146,157,Negative,0.7801486
5265,0:03:30,882,232,157,199,Negative,0.60098445
5266,0:03:30,642,230,170,186,Positive,0.9689631
5269,0:03:30,423,118,242,223,Positive,0.9307367
5270,0:03:30,379,217,180,169,Positive,0.86834806
5271,0:03:30,430,256,179,165,Negative,0.8117822
5579,0:03:43,908,75,212,283,Positive,0.99330866
5580,0:03:43,756,79,258,318,Positive,0.9968329
5581,0:03:43,673,68,307,325,Negative,0.5081264
5582,0:03:43,675,156,211,245,Positive,0.9944825
5583,0:03:43,606,188,185,213,Positive,0.9763882
5585,0:03:43,464,216,237,178,Positive,0.6256883
5586,0:03:43,484,271,188,125,Positive,0.6752335
5587,0:03:43,453,284,96,131,Positive,0.63194865
5657,0:03:46,357,208,153,305,Negative,0.8080708
5661,0:03:46,447,498,222,242,Negative,0.85149384
5662,0:03:46,558,501,180,177,Negative,0.5647834
6143,0:04:05,491,345,129,101,Positive,0.705761
6146,0:04:05,591,555,165,185,Positive,0.6302152
7646,0:05:05,249,168,115,148,Positive,0.93825597
7877,0:05:15,1192,536,184,88,Negative,0.9271461
7878,0:05:15,924,533,187,224,Negative,0.6150054
7879,0:05:15,752,442,259,308,Positive,0.974899
7880,0:05:15,658,418,187,233,Negative,0.8015223
7881,0:05:15,486,355,203,209,Positive,0.99975675
7882,0:05:15,420,226,259,217,Negative,0.83901864
7883,0:05:15,375,228,195,175,Positive,0.9551649
7884,0:05:15,373,257,141,167,Positive,0.5421356
7885,0:05:15,376,167,223,253,Positive,0.98396933
7886,0:05:15,366,247,169,179,Negative,0.5771384
9508,0:06:20,0,338,382,259,Positive,0.9327822
11738,0:07:49,0,345,246,100,Positive,0.8805031
11739,0:07:49,0,334,210,216,Positive,0.5889835
11741,0:07:49,284,273,274,203,Positive,0.8120787
11742,0:07:49,343,267,217,135,Positive,0.9899698
11743,0:07:49,413,273,183,126,Negative,0.5002194
12177,0:08:07,466,124,339,177,Negative,0.92932963
12179,0:08:07,343,303,222,359,Negative,0.9121555
12180,0:08:07,501,283,209,81,Negative,0.7527385
12182,0:08:07,443,595,125,277,Positive,0.67180115
12182,0:08:07,390,597,123,187,Positive,0.8538256
12183,0:08:07,551,588,132,150,Positive,0.5639738
12390,0:08:15,349,284,151,185,Positive,0.8585631
12391,0:08:15,401,413,104,173,Negative,0.906292
12392,0:08:15,368,520,190,244,Positive,0.99351704
16568,0:11:02,1146,258,271,134,Positive,0.9885162
16569,0:11:02,1059,292,286,221,Negative,0.65305257
16570,0:11:02,884,329,227,257,Positive,0.8182454
16571,0:11:02,757,300,234,301,Positive,0.5297619
16572,0:11:02,757,255,261,252,Positive,0.99103105
16573,0:11:02,688,269,220,163,Negative,0.579318
16574,0:11:02,499,252,228,219,Negative,0.92698765
16575,0:11:03,507,240,234,271,Negative,0.75916934
16576,0:11:03,524,243,234,86,Negative,0.5327715
16577,0:11:03,490,254,175,105,Positive,0.8309416
16667,0:11:06,968,403,272,202,Negative,0.84380984
16669,0:11:06,674,352,231,268,Positive,0.70959926
16670,0:11:06,564,374,202,186,Positive,0.9985482
16671,0:11:06,526,330,159,308,Positive,0.99277085
16672,0:11:06,476,321,198,201,Positive,0.963461
16673,0:11:06,405,262,205,313,Negative,0.8201387
16674,0:11:06,425,269,206,183,Positive,0.9046327
16675,0:11:07,414,256,195,196,Positive,0.9352084
17117,0:11:24,428,223,112,89,Negative,0.8865934
17119,0:11:24,346,283,186,127,Positive,0.5165298
17121,0:11:24,176,549,171,377,Positive,0.920206
17151,0:11:26,314,218,283,349,Positive,0.65687925
17153,0:11:26,412,299,114,104,Positive,0.7499267
17155,0:11:26,379,380,179,208,Positive,0.96673375
17156,0:11:26,289,395,150,287,Positive,0.99996567
17157,0:11:26,379,411,196,175,Positive,0.99991333
17599,0:11:43,0,552,168,148,Negative,0.87488735
17600,0:11:44,60,484,233,260,Positive,0.9734142
17601,0:11:44,40,420,234,241,Positive,0.9999223
17602,0:11:44,190,362,237,215,Negative,0.9031746
17603,0:11:44,314,320,237,233,Positive,0.6057108
17604,0:11:44,366,292,224,125,Negative,0.92831653
17605,0:11:44,415,287,222,125,Positive,0.9426095
17606,0:11:44,447,279,168,99,Positive,0.99646264
17607,0:11:44,422,276,125,124,Negative,0.6195347
17666,0:11:46,364,300,97,189,Positive,0.9401934
17857,0:11:54,455,275,163,157,Positive,0.9938421
17858,0:11:54,485,336,149,146,Positive,0.91199744
17859,0:11:54,497,301,251,149,Positive,0.9438352
17860,0:11:54,506,462,195,225,Positive,0.7993135
19797,0:13:11,608,551,169,191,Positive,0.99994373
19798,0:13:11,656,468,220,83,Negative,0.6132735
19799,0:13:11,579,349,247,247,Positive,0.99974066
19800,0:13:12,591,358,210,134,Negative,0.5816173
19801,0:13:12,451,307,213,200,Positive,0.8839145
19802,0:13:12,527,276,246,189,Positive,0.7912099
19803,0:13:12,497,269,229,99,Positive,0.8181754
