"","Frame","Clock","x","y","h","w","label","score","FileName","diff","Event"
"1",2,"0:00:00",0,0,720,1280,NA,NA,"VT0115_S1_VP7_20190607",0,NA
"2",3,"0:00:00",771,598,122,127,NA,NA,"VT0115_S1_VP7_20190607",1,NA
"3",535,"0:00:21",755,603,117,187,NA,NA,"VT0115_S1_VP7_20190607",532,NA
"4",962,"0:00:38",578,586,134,353,NA,NA,"VT0115_S1_VP7_20190607",427,1
"5",965,"0:00:38",508,27,168,423,NA,NA,"VT0115_S1_VP7_20190607",3,1
"6",974,"0:00:38",607,515,205,328,NA,NA,"VT0115_S1_VP7_20190607",9,1
"7",1034,"0:00:41",420,0,487,87,NA,NA,"VT0115_S1_VP7_20190607",60,2
"8",1034,"0:00:41",955,3,348,214,NA,NA,"VT0115_S1_VP7_20190607",0,2
"9",1034,"0:00:41",661,164,100,133,NA,NA,"VT0115_S1_VP7_20190607",0,2
"10",1037,"0:00:41",746,598,88,142,NA,NA,"VT0115_S1_VP7_20190607",3,2
"11",1040,"0:00:41",639,589,131,322,NA,NA,"VT0115_S1_VP7_20190607",3,2
"12",1921,"0:01:16",511,9,164,147,NA,NA,"VT0115_S1_VP7_20190607",881,3
"13",1922,"0:01:16",482,9,120,97,NA,NA,"VT0115_S1_VP7_20190607",1,3
"14",1924,"0:01:16",420,0,91,127,NA,NA,"VT0115_S1_VP7_20190607",2,3
"15",1925,"0:01:17",314,0,113,133,NA,NA,"VT0115_S1_VP7_20190607",1,3
"16",1926,"0:01:17",295,0,118,114,NA,NA,"VT0115_S1_VP7_20190607",1,3
"17",2028,"0:01:21",464,15,73,225,NA,NA,"VT0115_S1_VP7_20190607",102,4
"18",2029,"0:01:21",498,0,356,297,NA,NA,"VT0115_S1_VP7_20190607",1,4
"19",2030,"0:01:21",438,15,396,423,NA,NA,"VT0115_S1_VP7_20190607",1,4
"20",2031,"0:01:21",583,95,463,336,NA,NA,"VT0115_S1_VP7_20190607",1,4
"21",2032,"0:01:21",675,87,549,235,NA,NA,"VT0115_S1_VP7_20190607",1,4
"22",2033,"0:01:21",696,128,333,179,NA,NA,"VT0115_S1_VP7_20190607",1,4
"23",2034,"0:01:21",749,198,404,196,NA,NA,"VT0115_S1_VP7_20190607",1,4
"24",2035,"0:01:21",781,244,473,243,NA,NA,"VT0115_S1_VP7_20190607",1,4
"25",2036,"0:01:21",832,273,436,251,NA,NA,"VT0115_S1_VP7_20190607",1,4
"26",2037,"0:01:21",786,253,335,308,NA,NA,"VT0115_S1_VP7_20190607",1,4
"27",2038,"0:01:21",787,276,359,302,NA,NA,"VT0115_S1_VP7_20190607",1,4
"28",2038,"0:01:21",625,512,91,132,NA,NA,"VT0115_S1_VP7_20190607",0,4
"29",2039,"0:01:21",821,465,115,156,NA,NA,"VT0115_S1_VP7_20190607",1,4
"30",2039,"0:01:21",868,241,148,172,NA,NA,"VT0115_S1_VP7_20190607",0,4
"31",2043,"0:01:21",715,203,98,103,NA,NA,"VT0115_S1_VP7_20190607",4,4
"32",2044,"0:01:21",688,190,105,128,NA,NA,"VT0115_S1_VP7_20190607",1,4
"33",4568,"0:03:02",855,617,103,93,NA,NA,"VT0115_S1_VP7_20190607",2524,NA
"34",4568,"0:03:02",1072,549,171,208,NA,NA,"VT0115_S1_VP7_20190607",0,NA
"35",4913,"0:03:16",140,553,139,94,NA,NA,"VT0115_S1_VP7_20190607",345,NA
"36",4914,"0:03:16",517,54,663,676,NA,NA,"VT0115_S1_VP7_20190607",1,NA
"37",4963,"0:03:18",805,0,141,220,NA,NA,"VT0115_S1_VP7_20190607",49,5
"38",4964,"0:03:18",681,35,312,239,NA,NA,"VT0115_S1_VP7_20190607",1,5
"39",4965,"0:03:18",658,111,372,253,NA,NA,"VT0115_S1_VP7_20190607",1,5
"40",4966,"0:03:18",556,235,383,323,NA,NA,"VT0115_S1_VP7_20190607",1,5
"41",4967,"0:03:18",562,328,352,233,NA,NA,"VT0115_S1_VP7_20190607",1,5
"42",4968,"0:03:18",513,379,339,332,NA,NA,"VT0115_S1_VP7_20190607",1,5
"43",4969,"0:03:18",506,387,333,463,NA,NA,"VT0115_S1_VP7_20190607",1,5
"44",4970,"0:03:18",517,340,377,497,NA,NA,"VT0115_S1_VP7_20190607",1,5
"45",4971,"0:03:18",529,310,384,397,NA,NA,"VT0115_S1_VP7_20190607",1,5
"46",4972,"0:03:18",612,248,358,185,NA,NA,"VT0115_S1_VP7_20190607",1,5
"47",4973,"0:03:18",603,196,176,239,NA,NA,"VT0115_S1_VP7_20190607",1,5
"48",4984,"0:03:19",656,272,132,81,NA,NA,"VT0115_S1_VP7_20190607",11,5
"49",4992,"0:03:19",593,199,255,72,NA,NA,"VT0115_S1_VP7_20190607",8,5
"50",4992,"0:03:19",788,164,108,98,NA,NA,"VT0115_S1_VP7_20190607",0,5
"51",4993,"0:03:19",573,143,195,225,NA,NA,"VT0115_S1_VP7_20190607",1,5
"52",4994,"0:03:19",768,160,302,128,NA,NA,"VT0115_S1_VP7_20190607",1,5
"53",4994,"0:03:19",523,170,130,165,NA,NA,"VT0115_S1_VP7_20190607",0,5
"54",4995,"0:03:19",532,154,306,169,NA,NA,"VT0115_S1_VP7_20190607",1,5
"55",4996,"0:03:19",726,179,328,131,NA,NA,"VT0115_S1_VP7_20190607",1,5
"56",4997,"0:03:19",575,138,101,153,NA,NA,"VT0115_S1_VP7_20190607",1,5
"57",4998,"0:03:19",605,111,457,329,NA,NA,"VT0115_S1_VP7_20190607",1,5
"58",4999,"0:03:19",725,225,236,266,NA,NA,"VT0115_S1_VP7_20190607",1,5
"59",5000,"0:03:20",794,141,366,265,NA,NA,"VT0115_S1_VP7_20190607",1,5
"60",5001,"0:03:20",698,237,425,396,NA,NA,"VT0115_S1_VP7_20190607",1,5
"61",5002,"0:03:20",793,553,167,361,NA,NA,"VT0115_S1_VP7_20190607",1,5
"62",5003,"0:03:20",994,494,226,267,NA,NA,"VT0115_S1_VP7_20190607",1,5
"63",5156,"0:03:26",1062,587,133,188,NA,NA,"VT0115_S1_VP7_20190607",153,6
"64",5158,"0:03:26",589,659,58,225,NA,NA,"VT0115_S1_VP7_20190607",2,6
"65",5159,"0:03:26",642,612,108,294,NA,NA,"VT0115_S1_VP7_20190607",1,6
"66",5160,"0:03:26",515,623,97,169,NA,NA,"VT0115_S1_VP7_20190607",1,6
"67",5161,"0:03:26",516,639,81,135,NA,NA,"VT0115_S1_VP7_20190607",1,6
"68",5162,"0:03:26",512,488,232,152,NA,NA,"VT0115_S1_VP7_20190607",1,6
"69",5164,"0:03:26",518,519,176,105,NA,NA,"VT0115_S1_VP7_20190607",2,6
"70",5239,"0:03:29",686,192,165,140,NA,NA,"VT0115_S1_VP7_20190607",75,7
"71",5240,"0:03:29",671,186,267,183,NA,NA,"VT0115_S1_VP7_20190607",1,7
"72",5241,"0:03:29",654,213,381,233,NA,NA,"VT0115_S1_VP7_20190607",1,7
"73",5242,"0:03:29",588,405,313,419,NA,NA,"VT0115_S1_VP7_20190607",1,7
"74",5242,"0:03:29",776,446,73,238,NA,NA,"VT0115_S1_VP7_20190607",0,7
"75",5243,"0:03:29",734,499,221,290,NA,NA,"VT0115_S1_VP7_20190607",1,7
"76",5263,"0:03:30",883,555,165,272,NA,NA,"VT0115_S1_VP7_20190607",20,7
"77",5264,"0:03:30",816,442,278,250,NA,NA,"VT0115_S1_VP7_20190607",1,7
