"","Event","MeanTime","StartFrame","EndFrame"
"1",1,0.633333333333333,962,974
"2",2,0.683333333333333,1034,1040
"3",3,1.27333333333333,1921,1926
"4",4,1.35,2028,2044
"5",5,3.31217948717949,4963,5003
"6",6,3.43333333333333,5156,5164
"7",7,3.49333333333333,5239,5273
"8",8,3.66666666666667,5505,5510
"9",9,3.91944444444444,5880,5907
"10",10,8.38333333333333,12581,12583
"11",11,14.7166666666667,22091,22093
"12",12,17.2666666666667,25907,25915
"13",13,17.45,26182,26187
"14",14,17.55,26333,26338
"15",15,17.5733333333333,26369,26379
"16",16,21.4,32115,32123
"17",17,21.4333333333333,32158,32168
"18",18,21.5,32258,32262
"19",19,21.525,32285,32343
"20",20,21.6833333333333,32547,32549
"21",21,22.9,34369,34372
"22",22,23.1333333333333,34706,34712
"23",23,24.9824074074074,37474,37494
"24",24,25.05,37585,37595
"25",25,25.25,37876,37879
"26",26,25.8833333333333,38831,38839
"27",27,27.8987179487179,41848,41875
"28",28,28.3,42463,42467
"29",29,30.5166666666667,45795,45799
"30",30,30.55,45833,45846
"31",31,30.6015151515152,45906,45932
"32",32,30.7958333333333,46199,46202
"33",33,31.7148148148148,47573,47587
"34",34,31.7681818181818,47657,47677
"35",35,32.55,48829,48838
"36",36,32.6233333333333,48942,48955
"37",37,32.6942307692308,49042,49072
"38",38,32.8166666666667,49237,49248
"39",39,32.8666666666667,49301,49321
"40",40,32.9088888888889,49342,49390
"41",41,32.95,49438,49443
"42",42,33.4166666666667,50127,50132
"43",43,34.8833333333333,52331,52343
"44",44,34.9181818181818,52375,52406
"45",45,35.6666666666667,53502,53506
"46",46,43.4,65109,65120
"47",47,48.0833333333333,72135,72141
"48",48,48.15,72234,72239
"49",49,48.2166666666667,72337,72339
"50",50,48.2564102564103,72392,72417
"51",51,48.2958333333333,72448,72474
"52",52,51.55,77336,77345
"53",53,51.5833333333333,77376,77384
"54",54,51.6166666666667,77425,77430
"55",55,51.65,77489,77497
"56",56,60.3466666666667,90524,90526
"57",57,60.5192307692308,90789,90801
"58",58,60.5833333333333,90886,90891
"59",59,60.6166666666667,90928,90934
"60",60,60.6515151515151,90990,91000
"61",61,62.1166666666667,93189,93193
"62",62,62.2883333333333,93443,93452
"63",63,62.362037037037,93543,93569
"64",64,62.4944444444444,93728,93768
"65",65,62.52,93790,93802
"66",66,70.1185185185185,105194,105200
"67",67,70.1666666666667,105267,105270
"68",68,70.2166666666667,105327,105331
"69",69,70.2511111111111,105382,105411
"70",70,72.6833333333333,109036,109038
"71",71,72.7833333333333,109179,109192
"72",72,72.8333333333333,109258,109264
"73",73,72.85,109289,109293
"74",74,72.8865079365079,109320,109356
"75",75,72.9277777777778,109399,109401
"76",76,72.9666666666667,109454,109456
"77",77,73,109506,109513
"78",78,77.12,115680,115707
"79",79,77.1619047619048,115746,115757
"80",80,77.2266666666667,115848,115852
"81",81,77.25,115888,115897
"82",82,77.6,116401,116404
"83",83,79.7666666666667,119664,119674
"84",84,79.8166666666667,119730,119749
"85",85,84.125,126198,126200
"86",86,87.3333333333333,131008,131013
"87",87,88.4888888888889,132737,132759
"88",88,88.6333333333333,132952,132964
"89",89,88.7166666666667,133092,133097
"90",90,88.7651515151515,133149,133159
"91",91,89.1333333333333,133716,133720
"92",92,89.8833333333333,134827,134831
"93",93,92.6333333333333,138967,138974
"94",94,93.2166666666667,139830,139833
"95",95,93.9333333333333,140918,140922
"96",96,94.01875,141044,141050
"97",97,94.0833333333333,141144,141149
"98",98,94.1361111111111,141214,141242
"99",99,94.3,141463,141467
