Frame,Clock,Events,Sex,Note
2,0:00:00,NULL,,
3,0:00:00,NULL,,
535,0:00:21,NULL,,
962,0:00:38,NULL,,
965,0:00:38,NULL,,
974,0:00:38,NULL,,
1034,0:00:41,NULL,,
1034,0:00:41,NULL,,
1034,0:00:41,NULL,,
1037,0:00:41,NULL,,
1040,0:00:41,NULL,,
1921,0:01:16,Around,M,
1922,0:01:16,Around,M,
1924,0:01:16,Around,M,
1925,0:01:17,Around,M,
1926,0:01:17,Around,M,
2028,0:01:21,Enter,M,
2029,0:01:21,Enter,M,
2030,0:01:21,Enter,M,
2031,0:01:21,Enter,M,
2032,0:01:21,Enter,M,
2033,0:01:21,Enter,M,
2034,0:01:21,Enter,M,
2035,0:01:21,Enter,M,
2036,0:01:21,Enter,M,
2037,0:01:21,Enter,M,
2038,0:01:21,Enter,M,
2038,0:01:21,Enter,M,
2039,0:01:21,Enter,M,
2039,0:01:21,Enter,M,
2043,0:01:21,Enter,M,
2044,0:01:21,Enter,M,
4568,0:03:02,?,,Seem like a shadow?
4568,0:03:02,?,,
4913,0:03:16,Around,F,"Attempts to enter, but flew away"
4914,0:03:16,Around,F,
4963,0:03:18,Around,F,
4964,0:03:18,Around,F,
4965,0:03:18,Around,F,
4966,0:03:18,Around,F,
4967,0:03:18,Around,F,
4968,0:03:18,Around,F,
4969,0:03:18,Around,F,
4970,0:03:18,Around,F,
4971,0:03:18,Around,F,
4972,0:03:18,Around,F,
4973,0:03:18,Around,F,
4984,0:03:19,Around,F,
4992,0:03:19,Around,F,
4992,0:03:19,Around,F,
4993,0:03:19,Around,F,
4994,0:03:19,Around,F,
4994,0:03:19,Around,F,
4995,0:03:19,Around,F,
4996,0:03:19,Around,F,
4997,0:03:19,Around,F,
4998,0:03:19,Around,F,
4999,0:03:19,Around,F,
5000,0:03:20,Around,F,
5001,0:03:20,Around,F,
5002,0:03:20,Around,F,
5003,0:03:20,Around,F,
5156,0:03:26,Around,F,
5158,0:03:26,Around,F,
5159,0:03:26,Around,F,
5160,0:03:26,Around,F,
5161,0:03:26,Around,F,
5162,0:03:26,Around,F,
5164,0:03:26,Around,F,
5239,0:03:29,Exit,M,
5240,0:03:29,Exit,M,
5241,0:03:29,Exit,M,
5242,0:03:29,Exit,M,
5242,0:03:29,Exit,M,
5243,0:03:29,Exit,M,Only 20 frame difference between female and male exit/enter
5263,0:03:30,Enter,F,
5264,0:03:30,Enter,F,
5265,0:03:30,Enter,F,
5266,0:03:30,Enter,F,
5267,0:03:30,Enter,F,
5268,0:03:30,Enter,F,
5269,0:03:30,Enter,F,
5270,0:03:30,Enter,F,
5273,0:03:30,Enter,F,
5303,0:03:32,Enter,F,
5505,0:03:40,Exit,F,
5506,0:03:40,Exit,F,
5507,0:03:40,Exit,F,
5508,0:03:40,Exit,F,
5509,0:03:40,Exit,F,
5510,0:03:40,Exit,F,
