Frame,Clock,x,y,h,w,label,score,Events,Sex,Note
2,0:00:00,0,0,720,1280,Positive,0.7135414,NULL,,
469,0:00:18,868,634,76,148,Negative,0.94150037,NULL,,
1995,0:01:19,1086,0,195,194,Positive,0.82716435,Around,F,
1996,0:01:19,917,104,221,360,Positive,0.9914608,Around,F,
1997,0:01:19,952,190,364,309,Positive,0.8334506,Around,F,
1998,0:01:19,943,262,400,196,Positive,0.9764006,Around,F,
1999,0:01:19,799,309,411,319,Positive,0.9983773,Around,F,
2000,0:01:20,770,285,398,302,Positive,0.99958855,Around,F,
2001,0:01:20,640,238,402,435,Positive,0.99597836,Around,F,
2002,0:01:20,653,188,385,532,Positive,0.9989452,Around,F,
2003,0:01:20,683,200,347,393,Positive,0.9995832,Around,F,
2005,0:01:20,742,306,214,83,Negative,0.9377799,Around,F,
2240,0:01:29,832,238,261,167,Positive,0.9917018,Enter,F,
2241,0:01:29,798,299,202,220,Positive,0.98401237,Enter,F,
2398,0:01:35,948,193,131,97,Positive,0.994361,Enter,F,
2512,0:01:40,799,321,176,152,Negative,0.9495524,Enter,F,
2513,0:01:40,753,291,231,200,Positive,0.548898,Enter,F,
2514,0:01:40,757,183,329,189,Positive,0.99981254,Enter,F,
2515,0:01:40,765,375,117,172,Negative,0.9155896,Enter,F,
2516,0:01:40,768,224,312,202,Positive,0.5223572,Enter,F,
3312,0:02:12,878,176,113,123,Negative,0.7412807,Exit,F,
3313,0:02:12,853,187,145,172,Positive,0.9854645,Exit,F,
3314,0:02:12,655,107,546,536,Positive,0.9723198,Exit,F,
3314,0:02:12,1181,128,227,50,Negative,0.9999939,Exit,F,
3314,0:02:12,822,120,171,177,Positive,0.6067717,Exit,F,
3315,0:02:12,718,115,502,454,Positive,0.99739885,Exit,F,
3316,0:02:12,756,313,407,364,Negative,0.5938945,Exit,F,
3317,0:02:12,949,181,318,264,Positive,0.6963387,Exit,F,
3318,0:02:12,1089,269,298,191,Negative,0.9260998,Exit,F,
6026,0:04:01,333,47,673,947,Positive,0.90911096,Fly,,
6027,0:04:01,0,221,448,420,Positive,0.96166414,Fly,,
11276,0:07:31,1000,330,273,280,Negative,0.9362846,Around,F,Feed from outside
11277,0:07:31,853,261,340,325,Positive,0.9398422,Around,F,
11279,0:07:31,626,60,650,584,Positive,0.9358129,Around,F,
11280,0:07:31,672,0,553,434,Positive,0.8841121,Around,F,
11281,0:07:31,649,0,397,587,Negative,0.8174812,Around,F,
11282,0:07:31,665,0,271,348,Negative,0.9248598,Around,F,
11283,0:07:31,853,0,197,309,Negative,0.9761347,Around,F,
11283,0:07:31,663,27,170,215,Positive,0.994521,Around,F,
11322,0:07:32,268,540,180,209,Negative,1,Around,F,
11322,0:07:32,403,0,402,456,Negative,0.9372176,Around,F,
11323,0:07:32,547,0,285,283,Positive,0.98391944,Around,F,
