Frame,Clock,x,y,h,w,label,score
2,0:00:00,0,0,720,1280,Positive,0.7135414
469,0:00:18,868,634,76,148,Negative,0.94150037
1995,0:01:19,1086,0,195,194,Positive,0.82716435
1996,0:01:19,917,104,221,360,Positive,0.9914608
1997,0:01:19,952,190,364,309,Positive,0.8334506
1998,0:01:19,943,262,400,196,Positive,0.9764006
1999,0:01:19,799,309,411,319,Positive,0.9983773
2000,0:01:20,770,285,398,302,Positive,0.99958855
2001,0:01:20,640,238,402,435,Positive,0.99597836
2002,0:01:20,653,188,385,532,Positive,0.9989452
2003,0:01:20,683,200,347,393,Positive,0.9995832
2005,0:01:20,742,306,214,83,Negative,0.9377799
2240,0:01:29,832,238,261,167,Positive,0.9917018
2241,0:01:29,798,299,202,220,Positive,0.98401237
2398,0:01:35,948,193,131,97,Positive,0.994361
2512,0:01:40,799,321,176,152,Negative,0.9495524
2513,0:01:40,753,291,231,200,Positive,0.548898
2514,0:01:40,757,183,329,189,Positive,0.99981254
2515,0:01:40,765,375,117,172,Negative,0.9155896
2516,0:01:40,768,224,312,202,Positive,0.5223572
3312,0:02:12,878,176,113,123,Negative,0.7412807
3313,0:02:12,853,187,145,172,Positive,0.9854645
3314,0:02:12,655,107,546,536,Positive,0.9723198
3314,0:02:12,1181,128,227,50,Negative,0.9999939
3314,0:02:12,822,120,171,177,Positive,0.6067717
3315,0:02:12,718,115,502,454,Positive,0.99739885
3316,0:02:12,756,313,407,364,Negative,0.5938945
3317,0:02:12,949,181,318,264,Positive,0.6963387
3318,0:02:12,1089,269,298,191,Negative,0.9260998
6026,0:04:01,333,47,673,947,Positive,0.90911096
6027,0:04:01,0,221,448,420,Positive,0.96166414
11276,0:07:31,1000,330,273,280,Negative,0.9362846
11277,0:07:31,853,261,340,325,Positive,0.9398422
11279,0:07:31,626,60,650,584,Positive,0.9358129
11280,0:07:31,672,0,553,434,Positive,0.8841121
11281,0:07:31,649,0,397,587,Negative,0.8174812
11282,0:07:31,665,0,271,348,Negative,0.9248598
11283,0:07:31,853,0,197,309,Negative,0.9761347
11283,0:07:31,663,27,170,215,Positive,0.994521
11322,0:07:32,268,540,180,209,Negative,1.0
11322,0:07:32,403,0,402,456,Negative,0.9372176
11323,0:07:32,547,0,285,283,Positive,0.98391944
11324,0:07:32,643,62,381,201,Positive,0.965775
11326,0:07:33,642,157,356,228,Positive,0.84383744
11327,0:07:33,636,110,586,270,Positive,0.7953839
11328,0:07:33,691,123,517,275,Positive,0.99419206
11329,0:07:33,684,106,376,502,Positive,0.99999666
11330,0:07:33,754,128,364,253,Positive,0.9998745
11331,0:07:33,717,203,351,384,Negative,0.81063217
11332,0:07:33,684,245,280,480,Negative,0.94681036
11340,0:07:33,764,396,197,288,Positive,0.8732557
11341,0:07:33,734,340,226,263,Negative,0.9499678
11380,0:07:35,812,300,185,178,Positive,0.97640777
11478,0:07:39,689,232,356,499,Positive,0.9421807
11478,0:07:39,694,258,251,207,Positive,0.93477
11479,0:07:39,731,229,326,426,Positive,0.9001356
11481,0:07:39,955,361,135,114,Negative,0.7278298
11481,0:07:39,703,205,178,156,Positive,0.9977958
11482,0:07:39,691,177,178,173,Negative,0.6183264
11483,0:07:39,898,192,247,159,Positive,0.66756827
11625,0:07:45,785,176,310,252,Positive,0.9999995
11626,0:07:45,724,151,345,343,Positive,0.99827373
11627,0:07:45,688,76,456,419,Positive,0.9921342
11628,0:07:45,710,66,566,444,Positive,0.9973036
11629,0:07:45,731,123,416,463,Positive,0.9979532
11630,0:07:45,909,173,547,364,Positive,0.98069376
11630,0:07:45,749,211,394,417,Positive,0.98174703
11658,0:07:46,691,353,357,348,Positive,0.9597799
11659,0:07:46,670,267,438,411,Positive,0.9999714
11660,0:07:46,760,256,289,264,Positive,0.8920855
11661,0:07:46,780,162,393,272,Positive,0.9993051
11662,0:07:46,757,162,325,418,Positive,0.9951072
11663,0:07:46,660,123,405,542,Positive,0.99679536
11664,0:07:46,719,381,119,88,Positive,0.6173771
11664,0:07:46,726,107,193,280,Positive,0.99760556
11665,0:07:46,673,111,373,333,Positive,0.9998888
11666,0:07:46,663,112,357,374,Positive,0.9998274
11667,0:07:46,677,111,356,138,Positive,0.9730205
11668,0:07:46,709,63,137,202,Negative,0.92862576
11679,0:07:47,941,115,132,125,Positive,0.5125357
11681,0:07:47,942,115,178,260,Positive,0.79712075
11683,0:07:47,852,107,73,211,Negative,0.80255914
11867,0:07:54,738,223,205,130,Positive,0.968038
11867,0:07:54,843,301,133,118,Positive,0.9889392
12021,0:08:00,913,148,103,115,Positive,0.9997725
12022,0:08:00,808,202,228,229,Positive,0.99367815
12131,0:08:05,851,161,184,209,Positive,0.97659826
12132,0:08:05,736,164,343,347,Positive,0.9997002
12133,0:08:05,739,153,342,409,Positive,0.9216728
12134,0:08:05,777,76,564,484,Positive,0.8373248
12135,0:08:05,801,71,398,479,Negative,0.8503712
12136,0:08:05,910,182,308,370,Positive,0.99801135
13617,0:09:04,984,273,447,296,Positive,0.5627977
13618,0:09:04,689,103,538,591,Positive,0.8766792
13619,0:09:04,714,0,499,480,Negative,0.82414025
13620,0:09:04,899,0,351,209,Positive,0.9774491
13621,0:09:04,863,0,151,170,Negative,0.65557975
13661,0:09:06,617,0,292,279,Negative,0.734091
13663,0:09:06,669,0,296,248,Negative,0.75479627
13664,0:09:06,648,0,514,300,Positive,0.9989717
13665,0:09:06,708,56,339,412,Positive,0.9997265
13666,0:09:06,784,98,278,342,Positive,0.9995504
13667,0:09:06,703,116,414,478,Positive,0.9999951
13668,0:09:06,712,170,413,442,Positive,0.99772614
13669,0:09:06,721,318,214,246,Negative,0.72725064
13670,0:09:06,742,211,289,344,Positive,0.94805396
13736,0:09:09,896,644,76,176,Positive,0.79018396
13736,0:09:09,1169,390,159,111,Negative,1.0
13736,0:09:09,900,0,455,380,Positive,0.6172873
13738,0:09:09,0,0,695,701,Positive,0.90144217
13754,0:09:10,797,226,317,203,Positive,0.9834689
13755,0:09:10,653,223,404,515,Positive,0.93354887
13756,0:09:10,647,246,320,570,Positive,0.9981639
13760,0:09:10,895,383,176,64,Negative,0.8194378
13762,0:09:10,677,180,173,155,Negative,0.5513965
13763,0:09:10,774,341,182,125,Positive,0.9998233
13948,0:09:17,919,155,96,105,Positive,0.9111779
13965,0:09:18,890,165,261,170,Positive,0.7936618
13967,0:09:18,770,101,394,416,Positive,0.998718
13968,0:09:18,782,19,564,498,Positive,0.99536103
13969,0:09:18,796,122,598,484,Positive,0.91561157
16130,0:10:45,417,428,292,406,Negative,0.67605233
16131,0:10:45,532,337,365,477,Positive,0.6272631
16132,0:10:45,573,201,484,470,Positive,0.8898623
