FocalID,PartnerID,Year,Age,DayOfYear,TypeOfCare,BroodName,DVDNumber,DVDRef
419,4503,2004,2,209,Inc,D204,40494,494
419,4503,2004,2,215,Prov,D204,40523,523
419,4503,2004,2,219,Prov,D204,40540,540
419,4503,2004,2,223,Prov,D204,40554,554
723,,2004,3,210,Inc,D205,40503,503
371,456,2004,2,208,Inc,D206,40490,490
309,4422,2004,2,210,Inc,D207,40498,498
309,4422,2004,2,216,Prov,D207,40527,527
309,4422,2004,2,220,Prov,D207,40544,544
122,132,2004,3,210,Inc,D208,40497,497
122,132,2004,3,215,Prov,D208,40521,521
122,132,2004,3,219,Prov,D208,40539,539
122,132,2004,3,223,Prov,D208,40553,553
988,145,2004,1,212,Inc,D209,40513,513
988,145,2004,1,216,Prov,D209,40529,529
988,145,2004,1,220,Prov,D209,40545,545
988,145,2004,1,224,Prov,D209,40557,557
857,4247,2004,1,210,Inc,D210,40504,504
857,4247,2004,1,216,Prov,D210,40526,526
857,4247,2004,1,220,Prov,D210,40546,546
857,4247,2004,1,224,Prov,D210,40556,556
929,46,2004,1,210,Inc,D211,40502,502
32,513,2004,3,211,Inc,D212,40508,508
32,513,2004,3,217,Prov,D212,40532,532
4497,4265,2004,5,211,Inc,D213,40507,507
4497,4265,2004,5,217,Prov,D213,40531,531
960,650,2004,1,207,Inc,D214,40485,485
960,650,2004,1,211,Inc,D214,40506,506
960,650,2004,1,217,Prov,D214,40530,530
955,591,2004,1,211,Inc,D215,40510,510
955,591,2004,1,217,Prov,D215,40535,535
955,591,2004,1,221,Prov,D215,40549,549
980,971,2004,1,200,Inc,D216,40461,461
206,2018,2005,4,115,Inc,E012,50001,559
206,2018,2005,4,116,Inc,E012,50004,562
533,417,2005,2,116,Inc,E013,50003,561
533,417,2005,2,117,Inc,E013,50005,563
533,417,2005,2,127,Prov,E013,50021,579
533,417,2005,2,131,Prov,E013,50061,619
1718,1738,2005,1,120,Inc,E015,50006,564
1718,1738,2005,1,124,Inc,E015,50012,570
1048,456,2005,2,122,Inc,E016,50007,565
1048,456,2005,2,125,Inc,E016,50016,574
560,4230,2005,2,123,Inc,E017,50008,566
560,4230,2005,2,126,Inc,E017,50019,577
4424,4230,2005,4,124,Inc,E018,50009,567
4424,4230,2005,4,127,Inc,E018,50023,581
649,460,2005,3,124,Inc,E019,50011,569
649,460,2005,3,127,Inc,E019,50026,584
416,4418,2005,3,125,Inc,E020,50015,573
416,4418,2005,3,128,Inc,E020,50034,592
416,4418,2005,3,131,Prov,E020,50066,624
604,4304,2005,3,125,Inc,E021,50013,571
604,4304,2005,3,129,Inc,E021,50038,596
521,1038,2005,2,126,Inc,E022,50018,576
521,1038,2005,2,128,Inc,E022,50031,589
471,661,2005,3,124,Inc,E024,50010,568
471,661,2005,3,127,Inc,E024,50024,582
427,22,2005,3,125,Inc,E025,50014,572
427,22,2005,3,128,Inc,E025,50033,591
427,22,2005,3,131,Inc,E025,50065,623
427,22,2005,3,139,Prov,E025,50138,696
427,22,2005,3,143,Prov,E025,50169,727
917,4463,2005,2,126,Inc,E026,50017,575
917,4463,2005,2,129,Inc,E026,50046,604
917,4463,2005,2,139,Prov,E026,50136,694
917,4463,2005,2,143,Prov,E026,50168,726
438,11,2005,3,127,Inc,E027,50022,580
438,11,2005,3,130,Inc,E027,50053,611
1507,1500,2005,1,127,Inc,E028,50025,583
1507,1500,2005,1,130,Inc,E028,50050,608
913,818,2005,2,128,Inc,E029,50028,586
913,818,2005,2,131,Inc,E029,50059,617
342,421,2005,3,127,Inc,E030,50027,585
342,421,2005,3,130,Inc,E030,50051,609
342,421,2005,3,140,Prov,E030,50148,706
342,421,2005,3,144,Prov,E030,50179,737
586,285,2005,3,126,Inc,E031,50020,578
586,285,2005,3,129,Inc,E031,50040,598
524,2018,2005,2,128,Inc,E032,50036,594
524,2018,2005,2,131,Inc,E032,50068,626
524,2018,2005,2,140,Prov,E032,50144,702
4290,4275,2005,5,128,Inc,E033,50032,590
4290,4275,2005,5,131,Inc,E033,50064,622
4290,4275,2005,5,140,Prov,E033,50147,705
4290,4275,2005,5,144,Prov,E033,50178,736
442,457,2005,3,128,Inc,E034,50030,588
442,457,2005,3,131,Inc,E034,50063,621
442,457,2005,3,140,Prov,E034,50146,704
442,457,2005,3,144,Prov,E034,50177,735
819,602,2005,2,128,Inc,E035,50029,587
819,602,2005,2,131,Inc,E035,50062,620
819,602,2005,2,140,Prov,E035,50145,703
819,602,2005,2,144,Prov,E035,50176,734
431,356,2005,3,129,Inc,E036,50041,599
431,356,2005,3,132,Inc,E036,50072,630
431,356,2005,3,141,Prov,E036,50149,707
431,356,2005,3,142,Prov,E036,50159,717
431,356,2005,3,145,Prov,E036,50183,741
903,354,2005,2,128,Inc,E037,50035,593
903,354,2005,2,132,Inc,E037,50073,631
903,354,2005,2,141,Prov,E037,50150,708
903,354,2005,2,142,Prov,E037,50160,718
903,354,2005,2,143,Prov,E037,50171,729
903,354,2005,2,145,Prov,E037,50186,744
309,993,2005,3,129,Inc,E038,50048,606
309,993,2005,3,141,Prov,E038,50154,712
309,993,2005,3,142,Prov,E038,50165,723
309,993,2005,3,145,Prov,E038,50193,751
353,725,2005,3,128,Inc,E039,50037,595
353,725,2005,3,131,Inc,E039,50060,618
353,725,2005,3,142,Prov,E039,50163,721
353,725,2005,3,145,Prov,E039,50185,743
353,725,2005,3,145,Prov,E039,50195,753
985,409,2005,2,129,Inc,E040,50039,597
985,409,2005,2,132,Inc,E040,50077,635
985,409,2005,2,142,Prov,E040,50157,715
76,287,2005,4,130,Inc,E041,50052,610
76,287,2005,4,132,Inc,E041,50070,628
76,287,2005,4,142,Prov,E041,50158,716
76,287,2005,4,146,Prov,E041,50197,755
988,145,2005,2,130,Inc,E042,50055,613
988,145,2005,2,133,Inc,E042,50088,646
988,145,2005,2,143,Prov,E042,50170,728
988,145,2005,2,147,Prov,E042,50208,766
960,650,2005,2,129,Inc,E043,50047,605
960,650,2005,2,142,Prov,E043,50167,725
960,650,2005,2,143,Prov,E043,50175,733
960,650,2005,2,146,Prov,E043,50203,761
4273,4153,2005,5,129,Inc,E044,50045,603
4273,4153,2005,5,132,Inc,E044,50082,640
4273,4153,2005,5,142,Prov,E044,50164,722
4273,4153,2005,5,146,Prov,E044,50202,760
540,1053,2005,2,129,Inc,E045,50049,607
540,1053,2005,2,132,Inc,E045,50081,639
540,1053,2005,2,142,Prov,E045,50166,724
540,1053,2005,2,146,Prov,E045,50204,762
646,500,2005,3,129,Inc,E046,50043,601
646,500,2005,3,132,Inc,E046,50076,634
646,500,2005,3,142,Prov,E046,50162,720
646,500,2005,3,146,Prov,E046,50201,759
346,1956,2005,3,129,Inc,E047,50044,602
346,1956,2005,3,132,Inc,E047,50075,633
346,1956,2005,3,142,Prov,E047,50161,719
346,1956,2005,3,146,Prov,E047,50199,757
45,166,2005,4,130,Inc,E048,50054,612
45,166,2005,4,133,Inc,E048,50094,652
45,166,2005,4,143,Prov,E048,50174,732
45,166,2005,4,144,Prov,E048,50182,740
592,418,2005,3,131,Inc,E049,50069,627
592,418,2005,3,134,Inc,E049,50104,662
592,418,2005,3,143,Prov,E049,50172,730
592,418,2005,3,144,Prov,E049,50181,739
592,418,2005,3,147,Prov,E049,50209,767
1589,393,2005,1,130,Inc,E050,50058,616
1589,393,2005,1,133,Inc,E050,50096,654
338,466,2005,3,115,Inc,E051,50002,560
338,466,2005,3,130,Inc,E051,50056,614
338,466,2005,3,133,Inc,E051,50092,650
4391,4265,2005,2,131,Inc,E052,50067,625
4391,4265,2005,2,134,Inc,E052,50099,657
4391,4265,2005,2,144,Prov,E052,50180,738
4391,4265,2005,2,148,Prov,E052,50218,776
4391,4265,2005,2,149,Prov,E052,50232,790
892,4435,2005,2,132,Inc,E053,50083,641
892,4435,2005,2,135,Inc,E053,50110,668
892,4435,2005,2,145,Prov,E053,50192,750
556,23,2005,2,132,Inc,E054,50078,636
556,23,2005,2,135,Inc,E054,50107,665
556,23,2005,2,145,Prov,E054,50191,749
556,23,2005,2,149,Prov,E054,50231,789
1054,823,2005,2,134,Inc,E055,50103,661
1054,823,2005,2,137,Inc,E055,50125,683
1054,823,2005,2,145,Prov,E055,50190,748
1446,4423,2005,1,133,Inc,E056,50093,651
1446,4423,2005,1,136,Inc,E056,50122,680
1446,4423,2005,1,145,Prov,E056,50187,745
1446,4423,2005,1,149,Prov,E056,50224,782
605,1227,2005,3,129,Inc,E057,50042,600
605,1227,2005,3,132,Inc,E057,50080,638
605,1227,2005,3,145,Prov,E057,50188,746
605,1227,2005,3,149,Prov,E057,50221,779
1318,1210,2005,1,132,Inc,E058,50074,632
1318,1210,2005,1,135,Inc,E058,50109,667
1318,1210,2005,1,145,Prov,E058,50189,747
1318,1210,2005,1,149,Prov,E058,50222,780
419,765,2005,3,130,Inc,E059,50057,615
419,765,2005,3,133,Inc,E059,50090,648
419,765,2005,3,145,Prov,E059,50184,742
419,765,2005,3,149,Prov,E059,50223,781
784,1095,2005,2,132,Inc,E060,50079,637
784,1095,2005,2,135,Inc,E060,50108,666
784,1095,2005,2,146,Prov,E060,50205,763
963,505,2005,2,133,Inc,E061,50095,653
963,505,2005,2,137,Inc,E061,50128,686
963,505,2005,2,147,Prov,E061,50210,768
1069,1935,2005,2,132,Inc,E062,50071,629
1069,1935,2005,2,135,Inc,E062,50111,669
1069,1935,2005,2,146,Prov,E062,50198,756
1069,1935,2005,2,150,Prov,E062,50245,803
832,1464,2005,2,133,Inc,E063,50086,644
832,1464,2005,2,136,Inc,E063,50114,672
1047,1226,2005,2,133,Inc,E064,50089,647
1047,1226,2005,2,136,Inc,E064,50116,674
1047,1226,2005,2,146,Prov,E064,50200,758
1047,1226,2005,2,150,Prov,E064,50239,797
512,765,2005,2,133,Inc,E065,50091,649
512,765,2005,2,136,Inc,E065,50117,675
542,251,2005,2,134,Inc,E066,50102,660
542,251,2005,2,136,Inc,E066,50119,677
542,251,2005,2,147,Prov,E066,50211,769
927,1717,2005,2,134,Inc,E067,50097,655
927,1717,2005,2,136,Inc,E067,50112,670
927,1717,2005,2,147,Prov,E067,50206,764
927,1717,2005,2,151,Prov,E067,50254,812
1100,959,2005,3,134,Inc,E068,50098,656
1100,959,2005,3,137,Inc,E068,50126,684
1827,1353,2005,1,133,Inc,E069,50087,645
1827,1353,2005,1,134,Inc,E069,50100,658
1827,1353,2005,1,136,Inc,E069,50118,676
1827,1353,2005,1,147,Prov,E069,50207,765
1827,1353,2005,1,151,Prov,E069,50253,811
1228,115,2005,1,135,Inc,E071,50106,664
1228,115,2005,1,138,Inc,E071,50130,688
857,1569,2005,2,134,Inc,E072,50101,659
857,1569,2005,2,137,Inc,E072,50124,682
857,1569,2005,2,148,Prov,E072,50214,772
857,1569,2005,2,149,Prov,E072,50234,792
857,1569,2005,2,152,Prov,E072,50268,826
1907,504,2005,1,136,Inc,E073,50120,678
1907,504,2005,1,139,Inc,E073,50139,697
1739,46,2005,1,136,Inc,E074,50121,679
1739,46,2005,1,139,Inc,E074,50140,698
929,115,2005,2,135,Inc,E075,50105,663
929,115,2005,2,138,Inc,E075,50129,687
2004,823,2005,2,138,Inc,E076,50135,693
2004,823,2005,2,141,Inc,E076,50156,714
2004,823,2005,2,145,Prov,E076,50194,752
256,1448,2005,3,138,Inc,E077,50134,692
256,1448,2005,3,141,Inc,E077,50155,713
256,1448,2005,3,150,Prov,E077,50242,800
256,1448,2005,3,154,Prov,E077,50285,843
860,114,2005,2,137,Inc,E078,50127,685
860,114,2005,2,140,Inc,E078,50143,701
860,114,2005,2,150,Prov,E078,50240,798
860,114,2005,2,154,Prov,E078,50286,844
1544,504,2005,1,138,Inc,E079,50131,689
1544,504,2005,1,141,Inc,E079,50151,709
1544,504,2005,1,150,Prov,E079,50241,799
1544,504,2005,1,154,Prov,E079,50287,845
122,1448,2005,4,140,Inc,E080,50142,700
122,1448,2005,4,143,Inc,E080,50173,731
122,1448,2005,4,151,Prov,E080,50255,813
122,1448,2005,4,155,Prov,E080,50296,854
206,2018,2005,4,138,Inc,E081,50133,691
206,2018,2005,4,141,Inc,E081,50153,711
206,2018,2005,4,151,Prov,E081,50259,817
206,2018,2005,4,155,Prov,E081,50294,852
1386,591,2005,1,138,Inc,E082,50132,690
1386,591,2005,1,141,Inc,E082,50152,710
1386,591,2005,1,151,Prov,E082,50257,815
1386,591,2005,1,155,Prov,E082,50299,857
569,1717,2005,2,136,Inc,E083,50113,671
569,1717,2005,2,139,Inc,E083,50137,695
1048,591,2005,2,146,Inc,E084,50196,754
1048,591,2005,2,149,Inc,E084,50228,786
1048,591,2005,2,163,Prov,E084,50401,959
649,460,2005,3,149,Inc,E085,50225,783
649,460,2005,3,152,Inc,E085,50264,822
560,4230,2005,2,149,Inc,E086,50227,785
560,4230,2005,2,152,Inc,E086,50266,824
560,4230,2005,2,161,Prov,E086,50363,921
560,4230,2005,2,165,Prov,E086,50415,973
1507,1500,2005,1,149,Inc,E087,50226,784
